# size 1170
1 2 3 4 5 6 7 8 9
3 4 8 10 14 18 20 24 25
28 32 36 38 42 43 48 49 53
29 33 34 39 40 44 46 50 54
30 31 35 37 41 45 47 51 52
55 59 63 65 69 70 75 76 80
56 60 61 66 67 71 73 77 81
57 58 62 64 68 72 74 78 79
1 5 9 12 13 17 20 24 25
2 6 7 10 14 18 21 22 26
3 4 8 11 15 16 19 23 27
28 32 36 39 40 44 47 51 52
29 33 34 37 41 45 48 49 53
30 31 35 38 42 43 46 50 54
55 59 63 66 67 71 74 78 79
56 60 61 64 68 72 75 76 80
57 58 62 65 69 70 73 77 81
1 5 9 28 32 36 55 59 63
2 6 7 29 33 34 56 60 61
3 4 8 30 31 35 57 58 62
10 14 18 37 41 45 64 68 72
11 15 16 38 42 43 65 69 70
12 13 17 39 40 44 66 67 71
19 23 27 46 50 54 73 77 81
20 24 25 47 51 52 74 78 79
21 22 26 48 49 53 75 76 80
1 5 9 29 33 34 57 58 62
2 6 7 30 31 35 55 59 63
3 4 8 28 32 36 56 60 61
10 14 18 38 42 43 66 67 71
11 15 16 39 40 44 64 68 72
12 13 17 37 41 45 65 69 70
19 23 27 47 51 52 75 76 80
20 24 25 48 49 53 73 77 81
21 22 26 46 50 54 74 78 79
1 5 9 30 31 35 56 60 61
2 6 7 28 32 36 57 58 62
3 4 8 29 33 34 55 59 63
10 14 18 39 40 44 65 69 70
11 15 16 37 41 45 66 67 71
12 13 17 38 42 43 64 68 72
19 23 27 48 49 53 74 78 79
20 24 25 46 50 54 75 76 80
21 22 26 47 51 52 73 77 81
1 5 9 37 41 45 73 77 81
2 6 7 38 42 43 74 78 79
3 4 8 39 40 44 75 76 80
10 14 18 46 50 54 55 59 63
11 15 16 47 51 52 56 60 61
12 13 17 48 49 53 57 58 62
19 23 27 28 32 36 64 68 72
20 24 25 29 33 34 65 69 70
21 22 26 30 31 35 66 67 71
1 5 9 38 42 43 75 76 80
2 6 7 39 40 44 73 77 81
3 4 8 37 41 45 74 78 79
10 14 18 47 51 52 57 58 62
11 15 16 48 49 53 55 59 63
12 13 17 46 50 54 56 60 61
19 23 27 29 33 34 66 67 71
20 24 25 30 31 35 64 68 72
